"","YEAR","ENTIDAD_RES","[1,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","[75,120)"
"238",2021,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",2022,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",2023,"san luis potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",2016,"sinaloa",91,199,369,360,400,345,319,287,296,220,186,159,97,44,41,56
"242",2017,"sinaloa",37,57,105,119,153,158,137,133,105,90,66,67,35,14,9,17
"243",2018,"sinaloa",50,87,152,148,166,160,158,146,145,130,76,72,36,23,12,19
"244",2019,"sinaloa",36,76,128,139,107,103,88,78,77,65,46,43,31,13,9,17
"245",2020,"sinaloa",94,257,357,362,251,262,176,167,148,130,99,67,45,31,25,28
"246",2021,"sinaloa",101,286,484,390,396,398,308,242,228,227,188,138,100,66,39,68
"247",2022,"sinaloa",78,170,269,244,234,222,179,139,146,116,100,70,55,43,22,43
"248",2023,"sinaloa",47,121,157,114,105,89,77,93,62,39,50,38,17,16,9,15
"249",2016,"sonora",16,18,39,69,46,43,32,34,41,36,22,16,13,7,7,10
"250",2017,"sonora",25,33,46,49,40,53,46,30,37,34,27,24,25,9,2,5
"251",2018,"sonora",11,32,54,52,71,44,52,43,39,45,26,27,16,11,3,4
"252",2019,"sonora",33,109,217,221,209,227,175,149,134,106,92,68,69,33,20,16
"253",2020,"sonora",2,7,6,12,9,8,3,8,9,5,10,7,3,2,1,1
"254",2021,"sonora",7,8,34,22,29,26,27,30,21,15,13,7,10,4,2,2
"255",2022,"sonora",158,446,808,809,944,864,766,608,540,548,406,331,231,167,124,149
"256",2023,"sonora",13,23,23,11,14,11,14,9,9,16,4,6,5,3,3,4
"257",2016,"tabasco",180,309,446,415,603,581,532,448,324,244,208,151,105,56,35,49
"258",2017,"tabasco",28,39,66,60,84,92,72,48,46,36,33,17,13,8,5,2
"259",2018,"tabasco",31,68,69,66,84,100,79,57,47,43,24,22,19,6,2,3
"260",2019,"tabasco",375,867,996,766,656,588,533,445,376,275,240,145,110,90,37,54
"261",2020,"tabasco",131,301,343,274,246,281,209,207,174,131,114,75,51,32,12,17
"262",2021,"tabasco",13,24,49,37,35,44,38,35,25,20,16,12,1,6,2,0
"263",2022,"tabasco",119,324,468,360,296,299,275,248,182,123,92,71,40,37,11,16
"264",2023,"tabasco",331,918,1244,989,836,738,739,619,512,400,310,248,149,93,56,60
"265",2016,"tamaulipas",166,372,615,579,657,574,514,529,496,432,303,235,138,63,46,45
"266",2017,"tamaulipas",173,282,512,462,431,349,335,343,306,273,252,163,110,54,48,49
"267",2018,"tamaulipas",57,112,114,107,99,105,71,66,71,61,48,46,23,33,8,9
"268",2019,"tamaulipas",171,453,769,688,522,491,407,385,360,314,252,179,136,58,45,44
"269",2020,"tamaulipas",355,931,1475,1377,1826,1648,1333,1092,986,932,656,449,268,141,102,123
"270",2021,"tamaulipas",21,15,19,48,88,88,54,54,46,54,35,17,10,2,11,4
